instruction,input,output,text
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय प्राणी कुन हो ?,गाउँडो,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय प्राणी कुन हो ? ### Response: गाउँडो"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल कुन हो ?,रातो राखेँस,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल कुन हो ? ### Response: रातो राखेँस"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको पूर्वाधारशाली राजधानी कुन हो?,ललितपुर,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको पूर्वाधारशाली राजधानी कुन हो? ### Response: ललितपुर"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल के हो ?,रोडोडेन्ड्रन (लालीगुरास),"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल के हो ? ### Response: रोडोडेन्ड्रन (लालीगुरास)"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथा कति मिटर उचाई भएको छ?,"सगरमाथा 8,848.86 मिटर उचाई भएको छ।","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथा कति मिटर उचाई भएको छ? ### Response: सगरमाथा 8,848.86 मिटर उचाई भएको छ।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय पाठ कुन हो?,"सयौं थुंगा फूलका हामी, एउटै माला नेपाली","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय पाठ कुन हो? ### Response: सयौं थुंगा फूलका हामी, एउटै माला नेपाली"
"If you are a instructor, please answer the questions related to quiz based on the user's query",संघीय लोकतान्त्रिक गणतन्त्र नेपालको राष्ट्रिय पशु कुन हो?,नेपाली गौर,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: संघीय लोकतान्त्रिक गणतन्त्र नेपालको राष्ट्रिय पशु कुन हो? ### Response: नेपाली गौर"
"If you are a instructor, please answer the questions related to quiz based on the user's query",संघीय लोकतान्त्रिक गणतन्त्र नेपालको संविधान सन् २०७२ को कुन मिति मा लागु भएको थियो?,"आश्विन ३, २०७२ मा","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: संघीय लोकतान्त्रिक गणतन्त्र नेपालको संविधान सन् २०७२ को कुन मिति मा लागु भएको थियो? ### Response: आश्विन ३, २०७२ मा"
"If you are a instructor, please answer the questions related to quiz based on the user's query",माउन्ट एभरेस्ट कुन मुलुकमा रहेको छ?,माउन्ट एभरेस्ट नेपालमा रहेको छ।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: माउन्ट एभरेस्ट कुन मुलुकमा रहेको छ? ### Response: माउन्ट एभरेस्ट नेपालमा रहेको छ।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय प्राणी के हो?,नेपालको राष्ट्रिय प्राणी काउली पोखरी (One-Horned Rhinoceros) हो।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय प्राणी के हो? ### Response: नेपालको राष्ट्रिय प्राणी काउली पोखरी (One-Horned Rhinoceros) हो।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",मोहन शमशेर जब राणा प्रधानमन्त्री बने?,२००४ साल बैशाख १४ मा मोहन शमशेर जब राणा प्रधानमन्त्री बने।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: मोहन शमशेर जब राणा प्रधानमन्त्री बने? ### Response: २००४ साल बैशाख १४ मा मोहन शमशेर जब राणा प्रधानमन्त्री बने।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय ध्वजको के आकार हो?,नेपालको राष्ट्रिय ध्वजको आकार दुई त्रिकोणीय जोडीएको रहेको छ।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय ध्वजको के आकार हो? ### Response: नेपालको राष्ट्रिय ध्वजको आकार दुई त्रिकोणीय जोडीएको रहेको छ।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय पशु के हो?,गौरीगाई,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय पशु के हो? ### Response: गौरीगाई"
"If you are a instructor, please answer the questions related to quiz based on the user's query",संविधान सभा नेपालको कुन मितीमा बनाइयो?,2065 वैशाख 28 मा,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: संविधान सभा नेपालको कुन मितीमा बनाइयो? ### Response: 2065 वैशाख 28 मा"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय प्राणी कुन हो?,नेपालको राष्ट्रिय प्राणी गाय हो।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय प्राणी कुन हो? ### Response: नेपालको राष्ट्रिय प्राणी गाय हो।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथा कति मिटर उचाईको हो?,"सगरमाथा 8,848.86 मिटर उचाईको हो।","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथा कति मिटर उचाईको हो? ### Response: सगरमाथा 8,848.86 मिटर उचाईको हो।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय पाठ कुन हो?,"सयौं थुंगा फूलका हामी, एउटै माला नेपाली","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय पाठ कुन हो? ### Response: सयौं थुंगा फूलका हामी, एउटै माला नेपाली"
